id,名称,父id,拼音首字母,拼音首字母集合,拼音,附加说明,行政级别,行政代码,区号,排序
105,南川,4,n,nc,nanchuan,,区,500119 ,23 ,19
106,潼南,4,t,tn,tongnan,,区,500223 ,23 ,25
107,铜梁,4,t,tl,tongliang,,区,500151 ,23 ,21
108,荣昌,4,r,rc,rongchang,,区,500226 ,23 ,26
109,璧山,4,b,bs,bishan,,区,500120 ,23 ,20
110,梁平,4,l,lp,liangping,,区,500155 ,23 ,23
111,城口,4,c,ck,chengkou,,县,500229 ,23 ,27
112,丰都,4,f,fd,fengdu,,县,500230 ,23 ,28
113,垫江,4,d,dj,dianjiang,,县,500231 ,23 ,29
114,武隆,4,w,wl,wulong,,区,500156 ,23 ,24
115,忠县,4,z,zx,zhongxian,,,500233 ,23 ,30
116,开州,4,k,kz,kaizhou,,区,500154 ,23 ,22
117,云阳,4,y,yy,yunyang,,县,500235 ,23 ,31
118,奉节,4,f,fj,fengjie,,县,500236 ,23 ,32
119,巫山,4,w,ws,wushan,,县,500237 ,23 ,33
120,巫溪,4,w,wx,wuxi,,县,500238 ,23 ,34
121,石柱,4,s,sz,shizhu,土家族,自治县,500240 ,23 ,35
122,秀山,4,x,xs,xiushan,土家族苗族,自治县,500241 ,23 ,36
123,酉阳,4,y,yy,youyang,土家族苗族,自治县,500242 ,23 ,37
124,彭水,4,p,ps,pengshui,苗族土家族,自治县,500243 ,23 ,38
125,石家庄,5,s,sjz,shijiazhuang,,市,130100 ,311 ,1
126,唐山,5,t,ts,tangshan,,市,130200 ,315 ,2
127,秦皇岛,5,q,qhd,qinhuangdao,,市,130300 ,335 ,3
128,邯郸,5,h,hd,handan,,市,130400 ,310 ,4
129,邢台,5,x,xt,xingtai,,市,130500 ,319 ,5
130,保定,5,b,bd,baoding,,市,130600 ,312 ,6
131,张家口,5,z,zjk,zhangjiakou,,市,130700 ,313 ,7
132,承德,5,c,cd,chengde,,市,130800 ,314 ,8
133,沧州,5,c,cz,cangzhou,,市,130900 ,317 ,9
134,廊坊,5,l,lf,langfang,,市,131000 ,316 ,10
135,衡水,5,h,hs,hengshui,,市,131100 ,318 ,11
136,太原,6,t,ty,taiyuan,,市,140100 ,351 ,1
137,大同,6,d,dt,datong,,市,140200 ,352 ,2
138,阳泉,6,y,yq,yangquan,,市,140300 ,353 ,3
139,长治,6,c,cz,changzhi,,市,140400 ,355 ,4
140,晋城,6,j,jc,jincheng,,市,140500 ,356 ,5
141,朔州,6,s,sz,shuozhou,,市,140600 ,349 ,6
142,晋中,6,j,jz,jinzhong,,市,140700 ,354 ,7
143,运城,6,y,yc,yuncheng,,市,140800 ,359 ,8
144,忻州,6,x,xz,xinzhou,,市,140900 ,350 ,9
145,临汾,6,l,lf,linfen,,市,141000 ,357 ,10
146,吕梁,6,l,ll,lvliang,,市,141100 ,358 ,11
147,呼和浩特,7,h,hhht,huhehaote,,市,150100 ,471 ,1
148,包头,7,b,bt,baotou,,市,150200 ,472 ,2
149,乌海,7,w,wh,wuhai,,市,150300 ,473 ,3
